Open Price,Close Price,Time
2.95e-05,2.95e-05,2022-02-14 20:56:00
2.94e-05,2.95e-05,2022-02-14 20:57:00
2.94e-05,2.94e-05,2022-02-14 21:00:00
2.93e-05,2.93e-05,2022-02-14 21:02:00
2.93e-05,2.93e-05,2022-02-14 21:03:00
2.95e-05,2.95e-05,2022-02-14 21:04:00
2.95e-05,2.94e-05,2022-02-14 21:05:00
2.93e-05,2.94e-05,2022-02-14 21:07:00
2.94e-05,2.94e-05,2022-02-14 21:09:00
2.94e-05,2.94e-05,2022-02-14 21:11:00
2.95e-05,2.93e-05,2022-02-14 21:15:00
2.94e-05,2.94e-05,2022-02-14 21:16:00
2.95e-05,2.93e-05,2022-02-14 21:21:00
2.93e-05,2.94e-05,2022-02-14 21:22:00
2.93e-05,2.93e-05,2022-02-14 21:25:00
2.93e-05,2.93e-05,2022-02-14 21:26:00
2.92e-05,2.93e-05,2022-02-14 21:29:00
2.93e-05,2.94e-05,2022-02-14 21:30:00
2.92e-05,2.94e-05,2022-02-14 21:34:00
2.94e-05,2.94e-05,2022-02-14 21:36:00
2.93e-05,2.93e-05,2022-02-14 21:38:00
2.94e-05,2.94e-05,2022-02-14 21:39:00
2.93e-05,2.94e-05,2022-02-14 21:41:00
2.95e-05,2.93e-05,2022-02-14 21:43:00
2.93e-05,2.95e-05,2022-02-14 21:48:00
2.94e-05,2.95e-05,2022-02-14 21:49:00
2.94e-05,2.95e-05,2022-02-14 21:51:00
2.96e-05,2.96e-05,2022-02-14 21:55:00
2.96e-05,2.95e-05,2022-02-14 21:57:00
2.95e-05,2.95e-05,2022-02-14 21:59:00
2.96e-05,2.96e-05,2022-02-14 22:04:00
2.96e-05,2.96e-05,2022-02-14 22:06:00
2.96e-05,2.96e-05,2022-02-14 22:09:00
2.97e-05,2.96e-05,2022-02-14 22:11:00
2.97e-05,2.96e-05,2022-02-14 22:12:00
2.98e-05,2.98e-05,2022-02-14 22:13:00
2.98e-05,2.98e-05,2022-02-14 22:14:00
2.98e-05,2.98e-05,2022-02-14 22:16:00
2.98e-05,2.98e-05,2022-02-14 22:17:00
2.98e-05,2.98e-05,2022-02-14 22:18:00
2.97e-05,2.98e-05,2022-02-14 22:19:00
2.98e-05,2.97e-05,2022-02-14 22:21:00
2.97e-05,2.97e-05,2022-02-14 22:23:00
2.98e-05,2.98e-05,2022-02-14 22:24:00
2.97e-05,2.96e-05,2022-02-14 22:27:00
2.96e-05,2.97e-05,2022-02-14 22:32:00
2.96e-05,2.96e-05,2022-02-14 22:34:00
2.95e-05,2.96e-05,2022-02-14 22:36:00
2.95e-05,2.95e-05,2022-02-14 22:40:00
2.96e-05,2.96e-05,2022-02-14 22:41:00
2.96e-05,2.96e-05,2022-02-14 22:42:00
2.95e-05,2.95e-05,2022-02-14 22:45:00
2.94e-05,2.95e-05,2022-02-14 22:46:00
2.96e-05,2.95e-05,2022-02-14 22:48:00
2.96e-05,2.96e-05,2022-02-14 22:50:00
2.95e-05,2.95e-05,2022-02-14 22:51:00
2.95e-05,2.95e-05,2022-02-14 22:52:00
2.95e-05,2.96e-05,2022-02-14 22:53:00
2.95e-05,2.95e-05,2022-02-14 22:54:00
2.95e-05,2.96e-05,2022-02-14 22:55:00
2.96e-05,2.96e-05,2022-02-14 22:56:00
2.97e-05,2.96e-05,2022-02-14 22:59:00
2.96e-05,2.96e-05,2022-02-14 23:01:00
2.97e-05,2.96e-05,2022-02-14 23:04:00
2.97e-05,2.97e-05,2022-02-14 23:06:00
2.96e-05,2.97e-05,2022-02-14 23:09:00
2.97e-05,2.98e-05,2022-02-14 23:13:00
2.97e-05,2.96e-05,2022-02-14 23:14:00
2.96e-05,2.96e-05,2022-02-14 23:16:00
2.96e-05,2.95e-05,2022-02-14 23:19:00
2.96e-05,2.97e-05,2022-02-14 23:20:00
2.97e-05,2.97e-05,2022-02-14 23:21:00
2.96e-05,2.96e-05,2022-02-14 23:22:00
2.96e-05,2.97e-05,2022-02-14 23:23:00
2.96e-05,2.97e-05,2022-02-14 23:29:00
2.96e-05,2.96e-05,2022-02-14 23:30:00
2.96e-05,2.96e-05,2022-02-14 23:31:00
2.96e-05,2.96e-05,2022-02-14 23:33:00
2.96e-05,2.96e-05,2022-02-14 23:34:00
2.97e-05,2.96e-05,2022-02-14 23:36:00
2.97e-05,2.96e-05,2022-02-14 23:42:00
